OID_,sidc_2525d,identity_,context,symbolset,symbolentity,modifier1,modifier2,specialentitysubtype,echelon,status,indicator,uniquedesignation,additionalinformation,staffcomment,higherformation,reinforced,combateffectiveness,credibility,reliability,idmode,specialheadquarters,direction,speed,speedunit,x,y,z,size,rotation,countrycode,datetimevalid,datetimeexpired,createdby,createdtime,editedby,editedtime,sidc_2525c,GlobalID,Xcoord,Ycoord,Zcoord,timefromstart
10,10061000001213000000,6,0,10,121300,0,0,,,0,,N,, ,,,,,,, ,,,,-116.261410529000003,35.652049320000003,,,,,,,kerry_arcgistest,2/7/2020 19:36:09,kerry_arcgistest,2/7/2020 19:36:09,SHGPUCRV-------,{D9F5403B-1038-40BF-A3B4-EA4968F0EBAA},-7912037.611199999228120,5212208.985600002110004,4.270000000000000,0.000000000000000
11,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{8EAC4AB0-CE9E-447E-BEF0-86AA9E266A5D},-7912079.833300000056624,5212164.916900001466274,4.413400000004913,1.000000000000000
12,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{B262D485-9D8B-4EF8-833E-1E04E2D3D8F6},-7912112.090199999511242,5212140.278399996459484,4.335000000006403,2.000000000000000
13,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{94EF1D47-5D83-4720-9C01-39E2BBC78C93},-7912136.530899999663234,5212164.913000002503395,4.392300000006799,3.000000000000000
14,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{86177899-9CD4-446B-BE7B-9C79306F4A71},-7912160.971699999645352,5212189.547700002789497,4.449600000007194,4.000000000000000
15,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{8E88A593-80B7-4440-99D0-1339622E001E},-7912184.329199999570847,5212219.177799999713898,4.086299999995390,5.000000000000000
16,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{9B9185EC-D3A5-47CC-8DFA-4FAF02BE1AAC},-7912207.686799999326468,5212248.807800002396107,3.722999999998137,6.000000000000000
17,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{4BB78367-0CD3-4BE4-8940-95F74D672F14},-7912173.556299999356270,5212272.484300002455711,3.757100000002538,7.000000000000000
18,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{5B7FB6BF-14DF-460B-A805-8638E4904625},-7912139.425899999216199,5212296.160800002515316,3.791100000002189,8.000000000000000
19,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{BA1BC852-5D04-4A03-B6D5-0DBD413E9A1A},-7912103.130499999970198,5212322.903300002217293,3.766699999992852,9.000000000000000
20,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{392E9F7B-528B-4EB1-B08B-C48C20C8366C},-7912066.835200000554323,5212349.645800001919270,3.742199999993318,10.000000000000000
21,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{1ADCFABC-85D7-467C-8AAD-8A4B920AFD6E},-7912030.539799999445677,5212376.388199999928474,3.717799999998533,11.000000000000000
22,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{22314C56-9189-486B-8759-4E33909D06B2},-7911994.244500000029802,5212403.130699999630451,3.693299999998999,12.000000000000000
23,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{E39BB752-C4D0-4812-B71D-6858303B6098},-7911958.425499999895692,5212428.968699999153614,3.693700000003446,13.000000000000000
24,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{D2C9B579-8847-4B5D-9B6E-56F76D60FB41},-7911922.606399999931455,5212454.806800000369549,3.694199999998091,14.000000000000000
25,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{E9401FE9-BC1D-4E04-AD8F-9F0E7FB6D085},-7911886.787299999967217,5212480.644799999892712,3.694600000002538,15.000000000000000
26,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{9C2EB7BF-0F37-4F01-BD9A-060A04FD7679},-7911850.968299999833107,5212506.482799999415874,3.695099999997183,16.000000000000000
27,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{70631A8C-6A81-46E3-8960-E725D241F0A8},-7911815.149199999868870,5212532.320799998939037,3.695500000001630,17.000000000000000
28,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{A118754D-A7D4-4ECC-B77F-A39084731BD3},-7911779.330199999734759,5212558.158900000154972,3.695900000006077,18.000000000000000
29,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{651B6B11-158B-43F5-A081-35F1A67C2867},-7911743.511099999770522,5212583.996899999678135,3.696400000000722,19.000000000000000
30,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{62C23DA7-59C7-4CEF-A26A-39026E6CFBF4},-7911707.692099999636412,5212609.834899999201298,3.696800000005169,20.000000000000000
31,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{AA2A2C29-E964-45C5-B38D-3E96B30F9DD0},-7911675.385900000110269,5212632.750100001692772,3.654899999994086,21.000000000000000
32,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{9D39F24B-5967-4CB5-814F-2DD075CB561C},-7911643.079700000584126,5212655.665399998426437,3.612899999992806,22.000000000000000
33,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{AF54BFB8-D74F-4A4A-BEC4-C3A63E841B68},-7911610.773499999195337,5212678.580600000917912,3.570900000006077,23.000000000000000
34,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{2F32C161-8D0E-43B5-BB15-53CB5C16AA2E},-7911578.467299999669194,5212701.495800003409386,3.528999999994994,24.000000000000000
35,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{1F25E40A-992A-4675-8166-65B1080B17E8},-7911549.194599999114871,5212723.803700000047684,3.596999999994296,25.000000000000000
36,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{B7BF0CC2-1184-4E68-9B05-D963D2F786E4},-7911519.922000000253320,5212746.111500002443790,3.664999999993597,26.000000000000000
37,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{C7E28627-8053-4C07-A363-B60E8C21BF78},-7911498.813899999484420,5212777.556599996984005,3.578500000003260,27.000000000000000
38,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{4DE02BF9-A737-450C-BC01-7663CCBFF8CA},-7911477.705800000578165,5212809.001800000667572,3.491999999998370,28.000000000000000
39,10061000001213000000,6,0,10,121300,,,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,SHGPUCRV-------,{B40E9975-EFC1-4165-AF6E-01B13C1DC0E7},-7911456.597699999809265,5212840.446900002658367,3.405499999993481,29.000000000000000
